date,page,visits,orders,revenue,device,channel
2025-05-21,/category/accessories,504,14,667.54,Mobile,Organic Search
2025-05-27,/product/gaming-mouse,237,6,390.64,Desktop,Social
2025-06-09,/contact,291,0,0,Desktop,Organic Search
2025-06-26,/product/bluetooth-speaker,81,3,480.6,Desktop,Organic Search
2025-06-21,/product/phone-holder,109,3,102.83,Mobile,Direct
2025-07-04,/product/tablet-stand,337,15,547.02,Mobile,Organic Search
2025-05-21,/product/external-battery,245,16,671.68,Mobile,Paid Search
2025-05-10,/category/electronics,871,46,1881.27,Desktop,Paid Search
2025-05-23,/contact,99,0,0,Desktop,Direct
2025-05-19,/product/tablet-stand,118,2,105.92,Mobile,Organic Search
2025-04-21,/product/phone-holder,50,2,55.49,Desktop,Direct
2025-05-01,/category/electronics,400,4,351.35,Mobile,Email
2025-07-02,/product/laptop-charger,177,7,363.97,Mobile,Organic Search
2025-05-23,/support/warranty-info,19,0,0,Desktop,Direct
2025-06-28,/category/audio,65,0,0,Desktop,Paid Search
2025-06-13,/product/bluetooth-speaker,132,12,1470.31,Tablet,Paid Search
2025-07-10,/product/gaming-mouse,327,22,1366.15,Desktop,Direct
2025-05-24,/category/accessories,235,7,692.3,Mobile,Paid Search
2025-05-28,/about-us,280,1,121.37,Tablet,Paid Search
2025-06-05,/product/usb-cable,33,0,17.31,Tablet,Email
2025-05-04,/support/shipping-policy,227,1,97.43,Desktop,Organic Search
2025-07-14,/support/shipping-policy,51,0,0,Desktop,Organic Search
2025-05-24,/product/tablet-stand,317,8,259.26,Desktop,Direct
2025-05-25,/product/smartphone-case,218,12,325.53,Desktop,Organic Search
2025-05-09,/product/laptop-charger,193,8,470.25,Mobile,Organic Search
2025-06-07,/category/audio,668,8,696.54,Mobile,Organic Search
2025-04-17,/category/audio,276,10,809.7,Desktop,Direct
2025-04-21,/product/wireless-keyboard,72,3,284.8,Mobile,Email
2025-06-20,/product/bluetooth-speaker,164,3,474.99,Mobile,Social
2025-06-01,/product/wireless-headphones,104,3,318.65,Desktop,Organic Search
2025-07-11,/support/warranty-info,29,0,0,Mobile,Social
2025-05-18,/product/wireless-keyboard,201,12,1053.63,Tablet,Paid Search
2025-06-18,/product/smartphone-case,319,4,95.68,Desktop,Social
2025-04-19,/product/tablet-stand,372,20,677.63,Desktop,Referral
2025-04-29,/category/audio,199,3,179.63,Mobile,Paid Search
2025-07-12,/product/phone-holder,368,7,227.36,Mobile,Social
2025-06-03,/category/accessories,664,12,916.26,Desktop,Email
2025-06-30,/support/shipping-policy,78,0,0,Mobile,Social
2025-05-31,/product/wireless-keyboard,79,5,366.58,Desktop,Email
2025-06-05,/about-us,244,1,91.53,Desktop,Organic Search
2025-04-26,/product/external-battery,179,6,265.57,Tablet,Organic Search
2025-05-23,/product/usb-cable,237,4,83.8,Desktop,Referral
2025-07-04,/product/external-battery,493,37,1442.19,Tablet,Paid Search
2025-07-04,/,58,0,0,Mobile,Paid Search
2025-06-19,/category/computing,480,18,1025.98,Desktop,Organic Search
2025-05-31,/product/tablet-stand,347,6,253.77,Mobile,Social
2025-06-09,/product/smartphone-case,74,0,10.65,Mobile,Social
2025-06-26,/product/smartphone-case,430,39,939.75,Desktop,Paid Search
2025-06-26,/product/bluetooth-speaker,218,19,2685.45,Desktop,Paid Search
2025-07-05,/product/bluetooth-speaker,89,1,166.31,Mobile,Email
2025-05-01,/category/audio,539,18,1331.78,Desktop,Organic Search
2025-06-12,/product/wireless-headphones,207,6,591.3,Desktop,Social
2025-06-10,/product/wireless-keyboard,181,4,375.02,Mobile,Organic Search
2025-07-13,/blog/wireless-vs-wired,146,1,67.57,Desktop,Direct
2025-04-26,/product/gaming-mouse,203,8,505.61,Desktop,Social
2025-05-23,/about-us,267,0,45.21,Mobile,Organic Search
2025-06-19,/product/smartphone-case,52,1,23.25,Desktop,Referral
2025-05-26,/product/wireless-keyboard,21,0,0,Desktop,Paid Search
2025-05-18,/blog/best-headphones-2024,364,4,240.95,Mobile,Referral
2025-06-24,/support/warranty-info,81,0,0,Tablet,Social
2025-04-26,/product/wireless-keyboard,83,2,186.01,Desktop,Organic Search
2025-07-10,/about-us,262,1,126.42,Mobile,Paid Search
2025-05-13,/product/gaming-mouse,255,11,676.64,Mobile,Email
2025-05-20,/product/laptop-charger,261,22,1057.67,Desktop,Paid Search
2025-07-13,/blog/wireless-vs-wired,442,6,312.88,Desktop,Paid Search
2025-05-30,/product/wireless-keyboard,480,28,2092.34,Desktop,Organic Search
2025-04-29,/product/phone-holder,351,25,796.91,Desktop,Direct
2025-06-01,/product/tablet-stand,368,16,563.48,Mobile,Paid Search
2025-06-11,/blog/best-headphones-2024,245,4,293.11,Tablet,Paid Search
2025-05-05,/blog/wireless-vs-wired,207,4,237.91,Desktop,Email
2025-05-31,/product/usb-cable,423,31,618.33,Desktop,Referral
2025-06-02,/contact,205,0,0,Desktop,Referral
2025-07-04,/blog/wireless-vs-wired,440,3,189.72,Desktop,Email
2025-05-24,/support/warranty-info,223,0,0,Mobile,Referral
2025-06-29,/product/external-battery,372,22,831.45,Desktop,Paid Search
2025-05-26,/category/computing,690,10,435.14,Tablet,Paid Search
2025-06-08,/support/warranty-info,71,0,0,Mobile,Direct
2025-06-05,/blog/mobile-accessories-trends,361,4,228.02,Mobile,Direct
2025-07-12,/product/bluetooth-speaker,453,14,1683.87,Mobile,Email
2025-06-13,/category/computing,778,22,1592.9,Desktop,Organic Search
2025-05-16,/category/electronics,769,6,397.07,Tablet,Email
2025-05-14,/product/phone-holder,360,18,585.82,Mobile,Direct
2025-04-26,/product/gaming-mouse,304,9,568.66,Desktop,Organic Search
2025-07-10,/category/accessories,972,9,447.62,Mobile,Paid Search
2025-05-12,/product/external-battery,467,19,780.35,Mobile,Organic Search
2025-07-14,/,8,0,0,Tablet,Referral
2025-06-19,/support/warranty-info,242,1,106,Mobile,Paid Search
2025-05-01,/blog/gaming-setup-guide,318,2,123.74,Desktop,Social
2025-04-20,/product/wireless-keyboard,127,4,473.14,Mobile,Organic Search
2025-04-28,/product/external-battery,241,5,246.05,Tablet,Social
2025-05-05,/product/usb-cable,108,4,83.66,Tablet,Direct
2025-05-06,/,33,0,0,Mobile,Paid Search
2025-05-21,/category/electronics,115,2,143.36,Tablet,Email
2025-06-07,/blog/best-headphones-2024,32,0,0,Desktop,Organic Search
2025-05-15,/contact,76,0,0,Desktop,Social
2025-06-22,/category/computing,255,1,83.27,Tablet,Organic Search
2025-05-04,/product/gaming-mouse,23,0,67.29,Mobile,Paid Search
2025-07-12,/blog/gaming-setup-guide,319,1,111.46,Tablet,Social
2025-06-05,/product/phone-holder,405,31,984.6,Mobile,Paid Search
2025-05-13,/product/wireless-keyboard,226,13,1112.84,Mobile,Organic Search
2025-06-04,/product/wireless-headphones,494,33,2771.53,Desktop,Email
2025-07-14,/blog/mobile-accessories-trends,639,4,351.4,Mobile,Referral
2025-07-07,/product/smartphone-case,367,12,297.46,Tablet,Paid Search
2025-05-29,/about-us,134,0,0,Mobile,Referral
2025-06-11,/support/shipping-policy,73,0,0,Mobile,Organic Search
2025-06-09,/product/phone-holder,300,14,412.82,Mobile,Organic Search
2025-05-11,/product/gaming-mouse,143,6,404.18,Tablet,Direct
2025-04-28,/support/warranty-info,115,0,0,Desktop,Direct
2025-04-17,/product/smartphone-case,65,3,100.59,Mobile,Paid Search
2025-05-01,/blog/wireless-vs-wired,373,6,395.51,Desktop,Direct
2025-07-14,/,35,0,0,Mobile,Social
2025-06-23,/blog/gaming-setup-guide,610,5,402.35,Mobile,Email
2025-04-21,/product/external-battery,140,7,306.44,Mobile,Paid Search
2025-04-24,/product/phone-holder,133,3,92.69,Mobile,Paid Search
2025-06-21,/category/electronics,127,3,294.05,Desktop,Organic Search
2025-05-11,/blog/gaming-setup-guide,669,6,366.87,Mobile,Direct
2025-07-08,/product/wireless-keyboard,254,7,582.92,Mobile,Organic Search
2025-06-20,/product/bluetooth-speaker,110,2,320.66,Desktop,Organic Search
2025-04-30,/category/audio,578,31,1860.76,Desktop,Paid Search
2025-06-13,/product/laptop-charger,259,27,1336.45,Desktop,Paid Search
2025-05-20,/product/bluetooth-speaker,56,3,509.96,Tablet,Organic Search
2025-05-06,/blog/best-headphones-2024,692,1,129.23,Mobile,Social
2025-06-23,/,291,1,53.17,Desktop,Direct
2025-07-15,/product/laptop-charger,233,3,170.27,Mobile,Referral
2025-06-05,/category/computing,868,22,1344.63,Desktop,Email
2025-04-27,/support/warranty-info,297,0,65.74,Mobile,Organic Search
2025-06-12,/category/accessories,643,14,924.92,Mobile,Referral
2025-07-10,/product/wireless-keyboard,91,2,267.5,Mobile,Organic Search
2025-04-22,/category/electronics,935,8,743.25,Mobile,Organic Search
2025-06-24,/product/wireless-keyboard,201,7,559.4,Desktop,Organic Search
2025-06-25,/product/smartphone-case,311,14,347.42,Desktop,Organic Search
2025-07-16,/product/gaming-mouse,289,12,700.41,Desktop,Direct
2025-05-17,/product/usb-cable,306,21,455.14,Desktop,Organic Search
2025-06-21,/product/tablet-stand,154,3,144.02,Mobile,Paid Search
2025-05-05,/product/laptop-charger,249,14,786.14,Mobile,Organic Search
2025-05-29,/blog/mobile-accessories-trends,64,0,0,Desktop,Organic Search
2025-05-21,/category/computing,488,14,1011.42,Desktop,Organic Search
2025-05-13,/product/wireless-headphones,427,36,3046.81,Desktop,Organic Search
2025-05-06,/blog/gaming-setup-guide,369,3,231.09,Desktop,Paid Search
2025-06-15,/product/tablet-stand,255,24,828,Desktop,Paid Search
2025-06-27,/about-us,118,0,0,Mobile,Direct
2025-06-03,/,36,0,0,Desktop,Social
2025-06-22,/category/accessories,357,6,594.14,Mobile,Organic Search
2025-04-17,/blog/mobile-accessories-trends,498,5,438.15,Mobile,Email
2025-04-17,/blog/mobile-accessories-trends,597,13,709.52,Desktop,Organic Search
2025-04-18,/about-us,238,0,37.77,Mobile,Direct
2025-05-08,/blog/wireless-vs-wired,506,7,558.69,Desktop,Organic Search
2025-05-01,/product/laptop-charger,459,45,2156.19,Desktop,Paid Search
2025-05-27,/product/gaming-mouse,364,24,1492.94,Mobile,Paid Search
2025-06-05,/product/wireless-keyboard,10,0,0,Mobile,Direct
2025-06-12,/product/smartphone-case,84,2,63.9,Desktop,Organic Search
2025-05-22,/product/gaming-mouse,109,2,160.93,Mobile,Email
2025-05-14,/contact,31,0,0,Mobile,Paid Search
2025-07-14,/contact,233,3,146.27,Desktop,Paid Search
2025-07-05,/,223,1,121.15,Mobile,Organic Search
2025-06-30,/about-us,248,0,0,Desktop,Paid Search
2025-07-04,/category/computing,408,15,938.06,Desktop,Organic Search
2025-06-14,/category/computing,353,3,253.69,Desktop,Organic Search
2025-07-13,/category/audio,586,20,994.77,Desktop,Email
2025-05-21,/product/wireless-headphones,18,0,61.31,Mobile,Direct
2025-05-07,/product/external-battery,493,13,564.91,Mobile,Paid Search
2025-07-13,/,191,0,0,Desktop,Paid Search
2025-05-12,/,98,0,0,Mobile,Direct
2025-04-26,/product/phone-holder,134,8,262.16,Mobile,Organic Search
2025-06-14,/product/wireless-headphones,195,18,1612.77,Desktop,Paid Search
2025-05-18,/category/computing,101,3,178.7,Mobile,Paid Search
2025-07-07,/support/warranty-info,63,0,0,Desktop,Referral
2025-04-21,/,54,0,0,Mobile,Organic Search
2025-05-06,/category/computing,59,0,0,Desktop,Organic Search
2025-06-07,/category/accessories,623,19,968.58,Desktop,Organic Search
2025-05-20,/blog/best-headphones-2024,364,6,455.43,Desktop,Organic Search
2025-05-13,/product/usb-cable,173,6,119.95,Desktop,Email
2025-05-13,/category/accessories,553,30,2100.18,Desktop,Paid Search
2025-04-30,/product/external-battery,302,9,369.01,Mobile,Referral
2025-05-19,/category/audio,298,16,1246.48,Desktop,Paid Search
2025-06-08,/about-us,203,0,57.72,Tablet,Email
2025-05-17,/product/gaming-mouse,21,0,46.28,Mobile,Organic Search
2025-06-19,/,76,0,0,Desktop,Direct
2025-06-02,/product/gaming-mouse,408,24,1385.16,Tablet,Paid Search
2025-06-24,/category/electronics,320,8,643.22,Mobile,Organic Search
2025-05-08,/blog/wireless-vs-wired,705,2,168.26,Mobile,Organic Search
2025-04-21,/,77,0,0,Desktop,Paid Search
2025-04-23,/product/smartphone-case,165,7,184.28,Mobile,Organic Search
2025-04-19,/category/electronics,138,3,203.92,Desktop,Direct
2025-05-30,/product/phone-holder,116,12,359.56,Desktop,Paid Search
2025-05-01,/category/audio,717,16,707.04,Desktop,Paid Search
2025-07-08,/,106,0,48.56,Mobile,Organic Search
2025-06-09,/about-us,116,0,0,Desktop,Organic Search
2025-05-12,/product/wireless-headphones,55,4,328.06,Desktop,Referral
2025-04-21,/support/warranty-info,31,0,0,Desktop,Social
2025-05-17,/product/smartphone-case,293,13,299.79,Desktop,Direct
2025-04-17,/product/external-battery,447,31,1423.3,Mobile,Paid Search
2025-05-09,/blog/gaming-setup-guide,679,13,776.95,Mobile,Paid Search
2025-07-15,/product/phone-holder,43,1,32.27,Desktop,Email
2025-07-02,/product/tablet-stand,329,14,501.78,Mobile,Referral
2025-05-16,/product/bluetooth-speaker,482,17,2086.36,Desktop,Direct
2025-06-12,/category/computing,484,4,452.25,Tablet,Organic Search
2025-06-06,/product/tablet-stand,283,21,664.95,Desktop,Direct
2025-04-27,/product/gaming-mouse,80,1,99.35,Mobile,Social
2025-04-25,/category/accessories,923,21,1685.91,Desktop,Social
2025-05-25,/blog/best-headphones-2024,734,16,1227.63,Desktop,Organic Search
2025-04-17,/category/accessories,983,18,786.29,Desktop,Social
2025-04-28,/product/bluetooth-speaker,188,10,1635.57,Mobile,Paid Search
2025-07-12,/product/usb-cable,14,1,19.72,Desktop,Email
2025-05-12,/support/shipping-policy,234,0,33.97,Desktop,Social
2025-05-04,/product/laptop-charger,295,16,776.81,Mobile,Paid Search
2025-05-26,/product/gaming-mouse,351,12,715.48,Mobile,Organic Search
2025-06-08,/category/accessories,713,6,561.71,Mobile,Paid Search
2025-06-07,/blog/wireless-vs-wired,457,5,380.02,Desktop,Email
2025-06-21,/blog/wireless-vs-wired,510,7,577.04,Desktop,Paid Search
2025-07-10,/blog/gaming-setup-guide,575,7,406.82,Tablet,Direct
2025-05-17,/category/computing,607,15,1098.6,Desktop,Referral
2025-06-01,/product/wireless-headphones,54,2,222.08,Mobile,Organic Search
2025-07-07,/product/tablet-stand,245,10,353.09,Desktop,Social
2025-05-07,/product/tablet-stand,227,10,363.27,Mobile,Paid Search
2025-07-14,/blog/gaming-setup-guide,31,0,0,Mobile,Social
2025-06-13,/about-us,208,0,0,Desktop,Organic Search
2025-05-28,/product/tablet-stand,105,5,179.88,Desktop,Direct
2025-07-12,/,280,3,135.08,Desktop,Paid Search
2025-05-24,/support/warranty-info,128,0,47.34,Mobile,Email
2025-04-30,/product/gaming-mouse,175,4,250.78,Desktop,Social
2025-06-15,/product/gaming-mouse,232,5,330.64,Desktop,Social
2025-06-19,/category/audio,353,4,368.69,Desktop,Paid Search
2025-06-27,/category/accessories,809,16,985.27,Mobile,Organic Search
2025-04-26,/,153,0,0,Desktop,Direct
2025-06-05,/category/electronics,544,9,484.35,Mobile,Direct
2025-04-25,/product/gaming-mouse,312,24,1621.49,Mobile,Paid Search
2025-06-06,/category/accessories,870,13,879.7,Desktop,Organic Search
2025-04-27,/about-us,63,0,0,Desktop,Email
2025-06-10,/product/bluetooth-speaker,38,1,265.39,Mobile,Paid Search
2025-04-22,/product/wireless-headphones,377,14,1259.86,Mobile,Referral
2025-07-02,/,97,0,0,Desktop,Paid Search
2025-06-18,/category/accessories,704,11,475.88,Mobile,Direct
2025-05-16,/about-us,13,0,0,Desktop,Email
2025-04-19,/product/laptop-charger,62,3,167.36,Tablet,Paid Search
2025-07-07,/product/wireless-headphones,42,1,123.25,Mobile,Email
2025-07-06,/product/bluetooth-speaker,262,7,996.8,Mobile,Organic Search
2025-04-19,/category/audio,727,14,841.3,Mobile,Direct
2025-05-10,/product/tablet-stand,126,5,192.34,Mobile,Direct
2025-05-13,/product/laptop-charger,334,13,664.15,Tablet,Email
2025-04-22,/product/wireless-headphones,410,25,2408.46,Mobile,Organic Search
2025-04-19,/product/gaming-mouse,425,7,403.66,Tablet,Social
2025-06-05,/about-us,221,0,0,Desktop,Email
2025-06-29,/blog/best-headphones-2024,392,3,246.82,Mobile,Paid Search
2025-07-07,/product/external-battery,22,0,40.53,Mobile,Paid Search
2025-07-14,/product/smartphone-case,423,28,687.63,Desktop,Organic Search
2025-06-06,/contact,193,0,60.59,Mobile,Organic Search
2025-06-19,/product/phone-holder,35,3,90.74,Desktop,Paid Search
2025-06-19,/product/wireless-keyboard,195,7,585.52,Mobile,Email
2025-06-03,/product/usb-cable,140,6,109.52,Desktop,Organic Search
